magid,xs,ys,文献标题,摘要,年份
W2088786192,11.243776,7.0136275,An Improved Photovoltaic Power Forecasting Model With the Assistance of Aerosol Index Data,"title: an improved photovoltaic power forecasting model with the assistance of aerosol index data abstract: due to the intermittency and randomness of solar photovoltaic (pv) power, it is difficult for system operators to dispatch pv power stations. in order to find a precise expectation for day-ahead pv power generation, conventional models have taken into consideration the temperature, humidity, and wind speed data for forecasting, but these predictions were always not accurate enough under extreme weather conditions. aerosol index (ai), which indicates the particulate matter in the atmosphere, has been found to have strong linear correlation with solar radiation attenuation, and might have potential influence on the power generated by pv panels. a novel pv power forecasting model is proposed in this paper, considering ai data as an additional input parameter. based on seasonal weather classification, the back propagation (bp) artificial neural network (ann) approach is utilized to forecast the next 24-h pv power outputs. the estimated results of the proposed pv power forecasting model coincide well with measurement data, and the proposed model has shown the ability of improving prediction accuracy, compared with conventional methods using ann.",2015
W2008791002,1.3105264,1.2161279,Reinforcement Learning of Adaptive Energy Management With Transition Probability for a Hybrid Electric Tracked Vehicle,"title: reinforcement learning of adaptive energy management with transition probability for a hybrid electric tracked vehicle abstract: a reinforcement learning-based adaptive energy management (rlaem) is proposed for a hybrid electric tracked vehicle (hetv) in this paper. a control oriented model of the hetv is first established, in which the state-of-charge (soc) of battery and the speed of generator are the state variables, and the engine's torque is the control variable. subsequently, a transition probability matrix is learned from a specific driving schedule of the hetv. the proposed rlaem decides appropriate power split between the battery and engine-generator set (egs) to minimize the fuel consumption over different driving schedules. with the rlaem, not only is driver's power requirement guaranteed, but also the fuel economy is improved as well. finally, the rlaem is compared with the stochastic dynamic programming (sdp)-based energy management for different driving schedules. the simulation results demonstrate the adaptability, optimality, and learning ability of the rlaem and its capacity of reducing the computation time.",2015
W832636891,11.548067,6.861129,One‐day‐ahead hourly forecasting for photovoltaic power generation using an intelligent method with weather‐based forecasting models,"title: one‐day‐ahead hourly forecasting for photovoltaic power generation using an intelligent method with weather‐based forecasting models abstract: an intelligent method is proposed in this study to predict one‐day‐ahead hourly photovoltaic (pv) power generation. the proposed method comprises data classification, training, forecasting and forecasting updating stages. in the first stage, a fuzzy k ‐means algorithm is used to classify the historical data of daily pv power generation into various weather types. in the second stage, five training models are established, according to the verbal weather forecast of the taiwan central weather bureau (tcwb), in terms such as the sunny, sunny and cloudy, cloudy, cloudy and rainy and rainy. each training model is constructed using a radial basis function neural network (rbfnn), for which the parameters of each rbfnn, including the position of the radial basis function (rbf) centres, the width of the rbfs and the weights between the hidden and the output layers, are optimised using a harmony search algorithm (hsa). in the forecasting stage, fuzzy inference is used to select an adequate forecasting model from the trained models. to cope with the possible fluctuation of pv power generation, the forecasts are updated every 3 h, according to the updated weather forecasts of the tcwb. the proposed approach is tested on a practical pv power generation system. the results show that the proposed method provides better forecasting results than the existing methods over 1‐year testing data.",2015
W1668963720,11.305353,6.454982,Forecasting solar power generated by grid connected PV systems using ensembles of neural networks,"title: forecasting solar power generated by grid connected pv systems using ensembles of neural networks abstract: forecasting solar power generated from photovoltaic systems at different time intervals is necessary for ensuring reliable and economic operation of the electricity grid. in this paper, we study the application of neural networks for predicting the next day photovoltaic power outputs in 30 minutes intervals from the previous values, without using any exogenous data. we propose three different approaches based on ensembles of neural networks - two non-iterative and one iterative. we evaluate the performance of these approaches using four australian solar datasets for one year. this includes assessing predictive accuracy, evaluating the benefit of using an ensemble, and comparing performance with two persistence models used as baselines and a prediction model based on support vector regression. the results show that among the three proposed approaches, the iterative approach was the most accurate and it also outperformed all other methods used for comparison.",2015
W1587194470,11.717313,6.4326916,SVM based cloud classification model using total sky images for PV power forecasting,"title: svm based cloud classification model using total sky images for pv power forecasting abstract: the accuracy of photovoltaic (pv) power forecasting decreases drastically under cloudy weather due to the rapid, violent and irregular fluctuation of solar irradiance. therefore, to improve the accuracy of pv power forecasting, a detailed study on the influence of clouds in different movement and evolution patterns on solar irradiance is very necessary. the classification and recognition of different kinds of clouds are the basic of the study on the effect between the cloud and irradiance. a support vector machine (svm) based cloud classification model using the high temporal and spatial resolution sky images captured via the total sky imager installed in the pv plant is established in this paper. firstly, the influence on irradiance under clouds of different shapes and distributions in a sky image is analyzed and four different classes of clouds are distinguished taking into account the meteorology standard as well as the preceding analysis. secondly, the spectral and textural features are extracted by the statistical tonal analysis and gray level cooccurrence matrix (glcm) of the sky image. finally, a c-support vector classification (c-svc) model with radial basis function (rbf) kernel function is built to classify the different clouds in the sky images. the experimental results show that the proposed svm model can make reasonable classification and efficient identification for the various clouds in the sky images of pv plant.",2015
W1607303107,2.3052049,2.2039595,Collecting and Mining Big Data for Electric Vehicle Systems Using Battery Modeling Data,"title: collecting and mining big data for electric vehicle systems using battery modeling data abstract: growth of electric vehicles (ev) starts to change the way that people transit. several factors that affact the performance of evs and environment including energy efficiency, safety, product durability, climate, geographical factor, infrastructure, and grid capacity need to be further investigated to cope with upcoming challenges. these issues mainly involve three fields including information technology, ev design and battery management. with the demand to allow ev-data to connect to clouds, the big data collected from evs creates an unprecedented opportunity for developing novel ways for transportation and information exchange. in this work, we demonstrate the process of pattern extraction of ev related data based on a battery model and characteristics of ev systems. furthermore, the proposed approach provides an energy management scheme for drivers to overcome ""range anxiety"". we utilized the ev system data which is critical to the energy consumption to discover patterns for long-term performance estimation. we formulated driver's behaviors by training the operating data collected from a real ev system with an unsupervised learning algorithm by the ghsom neural network model. the experimental result shows that our approach has high potential to explore driver's behavioral patterns and estimate the driving range. the proposed framework can be appled to new ev design, intelligent transportation system (its), and big data analytics for the fields of internet of vehicle as well as urban computing.",2015
W1921164062,10.615402,7.1807985,Modeling and Characterization of a Photovoltaic Array Based on Actual Performance Using Cascade-Forward Back Propagation Artificial Neural Network,"title: modeling and characterization of a photovoltaic array based on actual performance using cascade-forward back propagation artificial neural network abstract: this paper proposes a novel prediction model for photovoltaic (pv) system output current. the proposed model is based on cascade-forward back propagation artificial neural network (cfnn) with two inputs and one output. the inputs are solar radiation and ambient temperature, while the output is output current. two years of experimental data for a 1.4 kwp pv system are utilized in this research. the monitored performance is recorded every 2 s in order to consider the uncertainty of the system’s output current. a comparison between the proposed model and other empirical and statistical models is done in this paper as well. moreover, the ability of the proposed model to predict performance with high uncertainty rate is validated. three statistical values are used to evaluate the accuracy of the proposed model, namely, mean absolute percentage error (mape), mean bias error (mbe), and root mean square error (rmse). these values are used to measure the deviation between the actual and the predicted data in order to judge the accuracy of the proposed model. a simple estimation of the deviation between the measured value and the predicted value with respect to the measured value is first given by mape. after that, the average deviation of the predicted values from measured data is estimated by mbe in order to indicate the amount of the overestimation/underestimation in the predicted values. third, the ability of predicting future records is validated by rmse, which represents the variation of the predicted data around the measured data. eventually, the percentage of mbe and rmse is calculated with respect to the average value of the output current so as to present better understating of model’s accuracy. the results show that the mape, mbe, and rmse of the proposed model are 7.08%, −0.21 a (−4.98%), and 0.315 a (7.5%), respectively. in addition to that, the proposed model exceeds the other models in terms of prediction accuracy.",2015
W2282712319,7.177715,1.5181875,A Time-Scale Adaptive Dispatch Method for Renewable Energy Power Supply Systems on Islands,"title: a time-scale adaptive dispatch method for renewable energy power supply systems on islands abstract: a salient feature of a renewable energy power supply system (repss) on islands is the high level of uncertainties caused by high penetration of volatile power sources, such as wind and solar photovoltaic farms. this creates large forecast errors under some conditions and makes the fixed time-scale dispatch impotent in maintaining system reliability. to tackle this challenge, a time-scale adaptive dispatch method is developed in this paper. the time-scale for dispatch repss on islands is adjusted online according to the confidence interval of forecast error predicted by neural network. extensive tests have validated the effectiveness of the presented method in offsetting the uncertainties in the system and improving the system reliability.",2015
W2245942605,11.237271,7.19586,Forecasting of solar irradiance for solar power plants by artificial neural network,"title: forecasting of solar irradiance for solar power plants by artificial neural network abstract: this paper presents solar irradiance forecasting in mae sariang, mae hongson province, thailand which has a solar power plant. this solar power plan is a photovoltaic (pv) with capacity power output at 4 mw. however, the adoption of solar irradiance as a power source on a global scale has not been uniform, due to by meteorological conditions, which cause the fluctuations and inconsistencies in pv power output. this paper has applied the artificial neural network by backpropagation algorithm to forecast solar irradiance. the model uses solar irradiance and meteorological data of previous 7-day period and relevant data for the training. the forecasting results predict solar irradiance in half hour increments in present day which were not used in the modeling. simulation results have shown that the mean absolute percentage errors in the four example days of the forecasting are less than 6%.",2015
W1653138571,11.954387,7.50125,Day-ahead hourly photovoltaic generation forecasting using extreme learning machine,"title: day-ahead hourly photovoltaic generation forecasting using extreme learning machine abstract: the photovoltaic (pv) generation systems as environmentally friendly renewable energy sources are increasing. however, the power generation of solar has high uncertainty and intermittency and brings significant challenges to power system operators. the accurate forecasting of photovoltaic (pv) power production is good for both the grid and individual smart homes. in this paper, we propose a novel weather-based photovoltaic generation forecasting approach using extreme learning machine (elm) for 1-day ahead hourly forecasting of pv power output. in the proposed approach, the weather conditions are divided into three types which are sunny day, cloudy day, and rainy day and training the pv power output forecasting models separately for those three weather types. in this paper, we take the pv output history data from the pv experiment system located in shanghai for case study. the forecasting results show that the proposed model outperform the bp neural networks model in all three weather types.",2015
